ACS Year,Community Area,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,Record ID
2023,CALUMET HEIGHTS,353,308,431,906,903,930,221,783,661,1057,1133,1232,541,707,1056,1477,2279,12078,130,11470,19,17,0,158,284,28,498,2023_CALUMET HEIGHTS
2023,CHATHAM,1530,1427,940,1291,1356,3149,1317,2269,1889,3182,1955,2565,1774,2398,3096,3965,3881,31440,414,29714,69,111,0,276,855,336,783,2023_CHATHAM
2023,CHICAGO LAWN,2242,2901,2615,2352,1408,6370,3202,3678,5317,3471,3416,6727,3025,4383,4672,4160,3824,52245,10788,19658,806,272,0,12657,8064,1143,30407,2023_CHICAGO LAWN
2023,CLEARING,359,997,1002,1677,1913,3350,1088,1920,3146,1993,1381,2561,900,1817,2472,2236,1847,24710,13917,486,479,178,37,4913,4701,8932,14872,2023_CLEARING
2023,DOUGLAS,689,571,526,431,737,1630,1654,1445,1400,1276,1149,1464,1511,1994,1463,1626,2017,18629,2278,12400,214,2006,0,797,936,2042,1416,2023_DOUGLAS
2023,DUNNING,761,1136,1714,3223,4246,4181,1634,2430,4527,5135,2831,4077,1902,2693,4013,4902,4222,42548,28488,1273,225,2450,4,5328,4779,23593,14613,2023_DUNNING
2023,EAST GARFIELD PARK,1416,1114,462,767,436,2588,872,1525,1599,1499,796,2730,1264,1378,2624,1669,1312,19855,1537,16911,47,35,13,494,818,1130,1535,2023_EAST GARFIELD PARK
2023,EAST SIDE,712,1248,1214,1450,988,2988,1376,1539,2518,2232,1010,3668,1311,1359,2324,1833,1473,23629,10892,365,597,146,0,7703,3927,2651,20479,2023_EAST SIDE
2023,EDGEWATER,736,1082,909,1984,3751,2835,2070,5429,6256,4618,3208,2770,2761,5238,4632,3545,4121,47484,28646,5684,87,5724,90,1724,5529,25939,7756,2023_EDGEWATER
2023,EDISON PARK,123,183,109,677,1846,1248,301,624,1045,1437,808,1292,331,1141,1063,1256,854,11398,9914,50,0,178,0,517,739,9162,1673,2023_EDISON PARK
2023,ENGLEWOOD,1501,1264,754,705,321,2835,934,1402,1506,2045,1418,2400,1018,1813,1662,2454,1851,21337,619,19500,20,167,0,515,516,276,1114,2023_ENGLEWOOD
2023,FOREST GLEN,162,349,343,953,3439,2749,504,925,2140,1833,1628,2234,455,954,2392,1990,1959,19763,15419,193,0,2190,0,725,1236,14528,2133,2023_FOREST GLEN
2023,FULLER PARK,186,113,36,61,34,225,149,75,87,134,365,212,86,110,194,269,280,2186,148,1850,7,7,0,22,151,86,232,2023_FULLER PARK
2023,GAGE PARK,1007,2038,1582,1619,1240,4256,2089,2910,3105,2809,2007,4786,2159,2167,3549,2489,2325,34650,13619,1403,536,264,1,13063,5764,995,31985,2023_GAGE PARK
2023,GARFIELD RIDGE,421,1324,1220,2378,3565,4492,1324,2255,3930,3987,2545,3856,978,2459,3515,3464,3459,36265,21939,1183,502,595,40,6073,5932,13879,20235,2023_GARFIELD RIDGE
2023,GRAND BOULEVARD,913,944,651,1406,1292,2160,807,2105,1857,2299,1347,2902,1080,2370,2930,2586,2365,24808,1339,21947,38,204,24,241,1015,1296,809,2023_GRAND BOULEVARD
2023,GREATER GRAND CROSSING,1853,1764,1121,1172,747,3356,1108,1553,2280,2627,2022,3636,1210,2250,2972,3042,2996,29052,350,27524,184,74,1,531,387,304,756,2023_GREATER GRAND CROSSING
2023,HEGEWISCH,213,309,462,560,592,1099,504,550,700,1155,623,898,286,671,611,890,909,8895,4768,1226,10,59,0,2015,818,3236,4331,2023_HEGEWISCH
2023,HERMOSA,549,1273,974,1270,1148,2900,1411,1738,2605,1995,1238,2498,1370,1601,2157,1895,1794,23200,8318,1087,107,702,11,8182,4793,2866,18578,2023_HERMOSA
2023,HUMBOLDT PARK,2099,3124,2632,2200,1901,7097,2493,4083,5546,4563,2115,7596,2530,5466,6141,4312,3073,55015,14677,19829,820,1335,0,11664,6691,6488,27389,2023_HUMBOLDT PARK
2023,HYDE PARK,301,255,309,731,2078,1599,3025,2476,1535,1527,1245,1619,3157,2614,1916,1683,1696,24092,11509,6143,49,3763,0,604,2024,10805,1762,2023_HYDE PARK
2023,IRVING PARK,1028,1882,1674,2798,5232,5486,1611,5235,6967,5024,2446,6188,1507,4820,6725,4160,3365,53535,31156,2073,205,5083,139,7625,7253,24178,20637,2023_IRVING PARK
2023,JEFFERSON PARK,521,751,814,1744,2965,2525,940,1972,3183,2898,1593,2964,775,2174,2846,2534,2586,26991,17913,695,66,3399,44,2070,2805,15345,6786,2023_JEFFERSON PARK
2023,KENWOOD,564,296,116,646,1254,1502,480,1052,1167,1308,1034,1548,450,1156,1542,1566,1564,14368,2958,9791,18,697,4,124,775,2804,383,2023_KENWOOD
2023,LAKE VIEW,627,661,860,1969,10739,5822,5510,16503,9710,5596,3406,5587,6195,15126,8311,4827,4058,90652,71631,3913,146,6386,88,2415,6073,67784,8979,2023_LAKE VIEW
2023,LINCOLN PARK,309,346,381,1224,8892,5078,4436,9024,5351,4012,2907,4564,5376,9145,5074,4180,2920,62067,50933,2283,25,4319,7,1261,3238,49078,4274,2023_LINCOLN PARK
2023,LINCOLN SQUARE,576,1022,1173,2162,4410,3588,1258,4535,5778,3366,1739,3553,1589,5379,5576,3357,2462,42180,28731,1623,280,4345,0,2662,4539,25776,8311,2023_LINCOLN SQUARE
2023,LOGAN SQUARE,1259,1521,1329,2708,7008,5469,2746,11445,9136,3989,2501,6219,3131,11399,8192,4007,3121,71354,45894,4355,481,3344,78,5260,11942,36570,24808,2023_LOGAN SQUARE
2023,LOOP,138,540,305,1122,4777,1145,2179,7741,3986,2394,1583,1223,3843,6816,2979,2173,2221,38284,22509,3120,367,8849,0,1016,2424,20573,4297,2023_LOOP
2023,LOWER WEST SIDE,900,1560,1242,1626,1887,3150,1522,4392,3634,2785,1700,2664,1888,4253,3611,2461,2118,34177,13332,1118,707,1430,0,11407,6182,7311,23679,2023_LOWER WEST SIDE
2023,MCKINLEY PARK,320,781,699,779,1039,1435,762,1301,1596,1828,740,1567,661,1141,1474,1819,1077,15400,5199,339,256,4282,0,3700,1625,2204,8474,2023_MCKINLEY PARK
2023,MONTCLARE,312,464,510,827,1089,1719,529,851,1484,1101,1025,1312,498,791,1419,1663,1363,13755,7066,922,72,446,0,3851,1398,4683,7515,2023_MONTCLARE
2023,MORGAN PARK,759,761,571,1180,1767,2608,667,1139,1985,1909,1646,2528,386,1212,2337,2124,2748,21288,6807,12770,53,211,0,335,1112,6485,981,2023_MORGAN PARK
2023,MOUNT GREENWOOD,158,289,270,917,2785,2355,1042,933,1931,2268,1018,2521,631,894,2079,1811,1622,19107,17017,344,16,202,0,356,1172,16041,1834,2023_MOUNT GREENWOOD
2023,NEAR NORTH SIDE,847,1032,517,1375,12236,3377,4374,15437,7622,7120,6401,2917,5592,16019,7509,7289,7978,91635,64903,6434,492,12354,8,1855,5590,62702,6664,2023_NEAR NORTH SIDE
2023,NEAR SOUTH SIDE,447,180,235,401,4452,1752,633,3425,3566,2341,1128,1662,330,4305,2893,2275,1998,26307,14113,6588,57,3830,0,329,1390,13320,1334,2023_NEAR SOUTH SIDE
2023,NEAR WEST SIDE,1532,1460,814,1625,6517,4919,4219,10357,7348,3601,1701,4144,4777,10374,7342,3979,2610,65370,30838,16099,119,11600,88,2322,4304,28282,6779,2023_NEAR WEST SIDE
2023,NEW CITY,2266,2142,1432,1622,1440,5713,2336,2272,4591,3231,2477,5182,2083,3095,4415,2873,2576,40843,12557,8446,524,991,29,13273,5024,4036,27311,2023_NEW CITY
2023,NORTH CENTER,355,271,378,1019,6575,4873,673,3400,5310,2578,1093,4495,707,3913,4913,2253,1574,35782,28092,906,17,2264,22,1063,3418,26136,4516,2023_NORTH CENTER
2023,NORTH LAWNDALE,1772,1538,1171,1454,613,4003,1654,2029,2415,1900,1477,3851,1250,2711,3627,3188,2251,30355,2545,24036,155,59,0,2363,1196,1614,4413,2023_NORTH LAWNDALE
2023,NORTH PARK,391,835,583,1105,1390,1786,740,1243,1815,1591,1419,2570,943,1377,1781,1854,2139,19259,10185,532,153,6058,0,904,1426,8578,3398,2023_NORTH PARK
2023,NORWOOD PARK,771,972,1140,2459,5263,5002,1192,2457,4154,3711,2981,4302,1067,1804,4531,3903,4970,40074,31029,515,144,2809,0,1759,3819,27986,7802,2023_NORWOOD PARK
2023,OAKLAND,361,228,144,125,182,772,104,185,236,236,142,565,211,351,591,564,414,4373,159,3946,59,51,0,14,143,155,131,2023_OAKLAND
2023,OHARE,321,650,1052,1083,1155,1304,601,2010,1852,1799,1060,1565,581,1576,1516,1249,1167,16281,10624,1079,55,2237,0,1110,1176,9418,3013,2023_OHARE
2023,PORTAGE PARK,909,2483,1926,4182,5814,6444,3095,4545,7429,6435,3858,6611,2738,4146,7124,6704,5072,64201,38249,1171,1026,3935,9,12068,7743,29957,27520,2023_PORTAGE PARK
2023,PULLMAN,287,308,346,478,226,391,221,516,704,503,329,843,211,474,807,999,855,6851,1123,5293,0,5,0,244,186,848,559,2023_PULLMAN
2023,RIVERDALE,965,494,195,164,47,1270,303,508,256,321,137,1815,626,908,768,538,290,7740,181,7365,17,0,0,32,145,18,252,2023_RIVERDALE
2023,ROGERS PARK,1038,1986,1477,2460,2802,4392,2431,4440,6095,5495,2837,4879,4537,5128,5772,4080,3081,53169,25129,13602,459,2750,0,5278,5951,23158,10599,2023_ROGERS PARK
2023,ROSELAND,1535,2186,1379,2244,1160,4122,1642,2695,2863,3657,2471,3871,1535,2622,3139,4872,4172,37660,668,35905,56,85,0,209,738,529,700,2023_ROSELAND
2023,SOUTH CHICAGO,1499,1522,968,1295,1055,3841,1196,1727,2485,2543,1661,3850,1407,2431,2537,2636,2759,29072,2813,21948,123,125,0,2986,1077,947,5604,2023_SOUTH CHICAGO
2023,SOUTH DEERING,912,838,464,562,564,1458,496,1289,751,1288,1262,1885,1065,771,1855,1618,1363,15100,3107,9719,144,1,20,1407,702,682,4707,2023_SOUTH DEERING
2023,SOUTH LAWNDALE,2608,4557,2307,2417,1622,7620,5006,8260,8288,5155,5044,7244,3896,4037,5721,4979,4303,69554,22010,8371,1044,606,32,23420,14070,3741,56992,2023_SOUTH LAWNDALE
2023,SOUTH SHORE,2299,2082,1681,1798,1563,5258,1093,3630,3802,3698,2573,5188,1978,4501,4959,4833,4763,46276,1588,43339,12,160,27,453,698,1066,1463,2023_SOUTH SHORE
2023,UPTOWN,1379,1189,971,1500,4119,3019,1977,7815,7131,5255,2224,3343,2325,6650,5389,4240,3306,52674,30635,10848,238,5033,17,2275,3626,27437,7558,2023_UPTOWN
2023,WASHINGTON HEIGHTS,918,905,1179,1804,1609,2449,1417,1534,1841,2476,1588,2903,1366,1474,2882,2861,3520,26310,488,25401,87,24,0,94,216,386,248,2023_WASHINGTON HEIGHTS
2023,WASHINGTON PARK,1142,717,274,317,267,2178,497,673,1005,749,465,1647,793,1189,1602,1001,564,12362,242,11691,10,0,0,138,281,230,171,2023_WASHINGTON PARK
2023,WEST ELSDON,267,921,788,979,1030,2228,769,1355,1998,1381,1351,2464,933,1286,1632,1670,1134,18201,7800,128,749,688,0,5056,3780,2606,14781,2023_WEST ELSDON
2023,WEST ENGLEWOOD,1547,1804,785,932,570,3013,1250,1888,1987,2377,2005,2749,1327,1839,2055,2493,2988,25971,1353,20537,279,83,65,2435,1220,262,4674,2023_WEST ENGLEWOOD
2023,WEST GARFIELD PARK,1048,975,655,432,346,2343,828,1223,1424,1713,853,1548,871,1263,1247,1684,1347,16345,501,15047,1,12,0,641,144,347,878,2023_WEST GARFIELD PARK
2023,WEST LAWN,766,1224,1296,1909,1777,4673,1865,2004,3594,2563,1453,4162,1665,2247,3283,2507,2435,32451,13717,929,585,255,171,10645,6149,3980,27275,2023_WEST LAWN
2023,WEST PULLMAN,1380,1196,850,1273,1158,3160,1306,1515,1883,2296,1462,2657,1255,1558,2957,2373,2739,25159,908,22426,0,0,0,790,1035,289,1856,2023_WEST PULLMAN
2023,WEST RIDGE,2088,3577,3031,4005,5327,10747,3219,5519,8146,7729,4907,10789,2568,4807,7905,6939,5945,79220,36943,9310,681,16696,17,6958,8615,31486,17531,2023_WEST RIDGE
2023,WEST TOWN,1051,1114,1197,2506,10663,5722,2592,16967,11131,4750,2570,5586,3211,16764,9695,4375,3089,86453,61759,6039,147,5138,21,4650,8700,54505,17099,2023_WEST TOWN
2023,WOODLAWN,1039,1223,622,917,807,2564,1958,1809,1861,2246,1019,2410,1801,1958,2533,2372,1905,24437,2807,18965,50,867,0,863,886,2438,783,2023_WOODLAWN
